50	196.404	19.5691	105.785
60	198.514	26.5722	93.7836
70	198.319	24.5165	92.565
80	200.877	34.385	99.8872
90	179.017	29.2973	113.778
100	174.67	42.7837	91.5819
200	179.659	58.2077	112.227
255	202.281	61.1388	48.3908
256	202.574	52.1187	106.638
257	188.93	32.6061	102.3
300	201.947	70.8773	114.536
400	190.368	45.5605	114.501
500	203.392	40.1896	111.714
600	193.128	49.5749	111.95
700	205.796	95.2534	115.149
800	203.787	43.0427	112.776
900	206.75	98.2221	114.253
1000	205.187	101.514	113.622
2000	202.407	76.136	115.542
3000	112.096	104.685	79.4606
4000	92.1169	100.029	95.9841
5000	86.9464	106.244	58.0536
6000	81.5863	106.865	4.27502
7000	90.8057	106.222	88.1187
8000	87.5232	92.7244	93.4357
9000	10.2032	105.536	94.9221
10000	87.5368	107.938	91.4515
20000	20.4679	102.167	19.8273
30000	98.4358	82.3969	71.6754
40000	87.978	82.3312	33.7478
50000	100.201	30.4299	38.8186
60000	66.9838	43.2809	35.0726
70000	60.5832	61.9472	39.0608
80000	99.1252	101.881	97.1134
90000	90.812	36.6321	52.1856
100000	59.3825	52.2677	55.6001
200000	63.1228	48.7204	38.5842
300000	100.206	66.5657	96.9054
400000	84.6602	34.3574	78.5975
500000	100.111	51.4708	97.0799
600000	86.0098	59.6649	97.2673
700000	100.139	53.9145	96.9007
800000	100.052	60.2863	97.1226
900000	99.9333	40.8085	97.1017
1000000	100.438	75.725	97.0824
